I/O TYPE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,設備盤側,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,DDC名稱:CHC3F-IQ4;IP:0,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,(未確效系統),試車欄,Unnamed: 25,Unnamed: 26,Unnamed: 27,備 註
DI,DO,AI,AO,SOF,監控點說明,盤名/設備名,設備(盤)端子編號,,,,硬體種類I/O,,控制器內端子編號,,,,監控盤內端子編號,,,,控制線數,軟體編號,,靜態測試,動態測試,軟體測試,軟體功能,
,,,,,,,V+,V-,S+,S-,,,V+,V-,S+,S-,V+,V-,S+,S-,,,,,,,,
,,1,,,C_5F DC47室內溫度,,,,,,IQ4,AI1,,,4,5,DC24+,,001,,,,,,,,,
,,1,,,C_5F DC48室內溫度,,,,,,IQ4,AI2,,,6,7,DC24+,,003,,,,,,,,,24DC至端指S-引至24VDC-
,,1,,,C_5F DC49室內溫度,,,,,,IQ4,AI3,,,8,9,DC24+,,005,,,,,,,,,
,,1,,,C_5F DC50室內溫度,,,,,,IQ4,AI4,,,10,11,DC24+,,007,,,,,,,,,
,,1,,,C_5F DC51室內溫度,,,,,,IQ4,AI5,,,12,13,DC24+,,009,,,,,,,,,
,,1,,,C_5F DC52室內溫度,,,,,,IQ4,AI6,,,14,15,DC24+,,011,,,,,,,,,
,,1,,,C_5F DC53室內溫度,,,,,,IQ4,AI7,,,16,17,DC24+,,013,,,,,,,,,
,,1,,,C_5F DC54室內溫度,,,,,,IQ4,AI8,,,18,19,DC24+,,015,016,,,,,,,,
,,1,,,C_5F_室內溫度#1,,,,,,IQ4,AI9,,,20,21,DC24+,,017,,,,,,,,,
,,1,,,C_5F_室內濕度#1,,,,,,IQ4,AI10,,,22,23,DC24+,,019,,,,,,,,,
,,,1,,C_5F DC47冰水閥開度,,,,,,IQ4,AO1,,,24,25,T1,R1,021,022,,,"A/M(BV16),OV(AV21),SV(AV18)",,,,,
,,,1,,C_5F DC48冰水閥開度,,,,,,IQ4,AO2,,,26,27,T2,R2,023,024,,,"A/M(BV17),OV(AV25),SV(AV22)",,,,,
,,,1,,C_5F DC49冰水閥開度,,,,,,IQ4,AO3,,,28,29,T3,R3,025,026,,,"A/M(BV18),OV(AV29),SV(AV26)",,,,,AV30(Tmax)
,,,1,,C_5F DC50冰水閥開度,,,,,,IQ4,AO4,,,30,31,T4,R4,027,028,,,"A/M(BV19),OV(AV36),SV(AV33)",,,,,
,,,1,,C_5F DC51冰水閥開度,,,,,,IQ4,AO5,,,32,33,T5,R5,029,030,,,"A/M(BV22),OV(AV48),SV(AV45)",,,,,
,,,1,,C_5F DC52冰水閥開度,,,,,,IQ4,AO6,,,34,35,T6,R6,031,032,,,"A/M(BV23),OV(AV49)",,,,,
,,1,,,,,,,,,8UIO模組,AI11,1,,2,3,DC24+,,101,102,,,"A/M(BV15),OV(AV41),SV(AV91)",,,,,
,,1,,,,,,,,,8UIO模組,AI12,4,,5,6,,,103,104,,,"A/M(BV16),OV(AV42),SV(AV94)",,,,,
,,1,,,,,,,,,8UIO模組,AI13,7,,8,9,DC24+,,105,106,,,"A/M(BV17),OV(AV43),SV(AV97)",,,,,
,,1,,,,,,,,,8UIO模組,AI14,10,,11,12,,,107,108,,,"A/M(BV18),OV(AV44),SV(AV100)",,,,,
,,1,,,,,,,,,8UIO模組,AI15,13,,14,15,DC24+,,109,110,,,"A/M(BV19),OV(AV45),SV(AV103)",,,,,
,,1,,,,,,,,,8UIO模組,AI16,16,,17,18,,,111,112,,,"A/M(BV20),OV(AV46),SV(AV106)",,,,,
,,1,,,,,,,,,8UIO模組,AI17,19,,20,21,DC24+,,113,114,,,"A/M(BV21),OV(AV47),SV(AV109)",,,,,
,,1,,,,,,,,,8UIO模組,AI18,22,,23,24,,,115,,,,"A/M(BV22),OV(AV48),SV(AV112)",,,,,24DC至端指S-引至0VDC
,,,1,,C_5F DC53冰水閥開度,,,,,,8AO模組,AO7,,,1,3,T7,R7,201,202,,,"A/M(BV15),OV(AV41),SV(AV91)",,,,,
,,,1,,C_5F DC54冰水閥開度,,,,,,8AO模組,AO8,,,4,6,,,203,204,,,"A/M(BV16),OV(AV42),SV(AV94)",,,,,
,,,1,,,,,,,,8AO模組,AO9,,,7,9,,,205,206,,,"A/M(BV17),OV(AV43),SV(AV97)",,,,,
,,,1,,,,,,,,8AO模組,AO10,,,10,12,,,207,208,,,"A/M(BV18),OV(AV44),SV(AV100)",,,,,
,,,1,,,,,,,,8AO模組,AO11,,,13,15,,,209,210,,,"A/M(BV19),OV(AV45),SV(AV103)",,,,,
,,,1,,,,,,,,8AO模組,AO12,,,16,18,,,211,212,,,"A/M(BV20),OV(AV46),SV(AV106)",,,,,
,,,1,,,,,,,,8AO模組,AO13,,,19,21,,,213,214,,,"A/M(BV21),OV(AV47),SV(AV109)",,,,,
,,,1,,,,,,,,8AO模組,AO14,,,22,24,,,215,216,,,"A/M(BV22),OV(AV48),SV(AV112)",,,,,
1,,,,,FFU57運轉狀態,,,,,,8UIO模組,DI1,1,,2,3,,,301,302,,,"A/M(BV15),OV(AV41),SV(AV91)",,,,,
1,,,,,FFU58運轉狀態,,,,,,8UIO模組,DI2,4,,5,6,,,303,304,,,"A/M(BV16),OV(AV42),SV(AV94)",,,,,
1,,,,,FFU59運轉狀態,,,,,,8UIO模組,DI3,7,,8,9,,,305,306,,,"A/M(BV17),OV(AV43),SV(AV97)",,,,,
1,,,,,FFU60運轉狀態,,,,,,8UIO模組,DI4,10,,11,12,,,307,308,,,"A/M(BV18),OV(AV44),SV(AV100)",,,,,
1,,,,,FFU61運轉狀態,,,,,,8UIO模組,DI5,13,,14,15,,,309,310,,,"A/M(BV19),OV(AV45),SV(AV103)",,,,,
1,,,,,FFU62運轉狀態,,,,,,8UIO模組,DI6,16,,17,18,,,311,312,,,"A/M(BV20),OV(AV46),SV(AV106)",,,,,
1,,,,,FFU63運轉狀態,,,,,,8UIO模組,DI7,19,,20,21,,,313,314,,,"A/M(BV21),OV(AV47),SV(AV109)",,,,,
1,,,,,DC承漏盤 漏液警報2,,,,,,8UIO模組,DI8,22,,23,24,,,315,,,,"A/M(BV22),OV(AV48),SV(AV112)",,,,,
